room_id,user_id,session_id,pos_x,pos_y,width,height,explored,has_monster,has_chest,has_trap,has_shop,discovered_at,metadata
room_1,6617937376,6617937376_20260127210802,0,0,3,3,True,False,True,False,False,2026-01-27T21:08:02.266765,"{""dice_roll"": [3, 3, 4], ""doors_count"": 4, ""is_dragon_room"": false, ""level"": 2}"
room_1,6617937376,6617937376_20260127210802,0,0,3,3,True,False,True,False,False,2026-01-27T21:35:05.576413,"{""dice_roll"": [3, 3, 4], ""doors_count"": 4, ""is_dragon_room"": false, ""level"": 2}"
room_1,6617937376,6617937376_20260127210802,0,0,3,3,True,False,True,False,False,2026-01-27T21:35:07.591257,"{""dice_roll"": [3, 3, 4], ""doors_count"": 4, ""is_dragon_room"": false, ""level"": 2}"
room_2,6617937376,6617937376_20260127210802,-2,6,6,2,True,True,True,False,False,2026-01-27T21:35:07.592261,"{""dice_roll"": [6, 2, 1], ""doors_count"": 1, ""is_dragon_room"": false, ""level"": 3}"
room_1,6617937376,6617937376_20260127210802,0,0,3,3,True,False,True,False,False,2026-01-27T21:49:55.501859,"{""dice_roll"": [3, 3, 4], ""doors_count"": 4, ""is_dragon_room"": false, ""level"": 2}"
room_1,6617937376,6617937376_20260127210802,0,0,3,3,True,False,False,False,False,2026-01-27T21:49:57.529328,"{""dice_roll"": [3, 3, 4], ""doors_count"": 4, ""is_dragon_room"": false, ""level"": 2}"
room_1,6617937376,6617937376_20260127210802,0,0,3,3,True,False,False,False,False,2026-01-27T21:50:03.481553,"{""dice_roll"": [3, 3, 4], ""doors_count"": 4, ""is_dragon_room"": false, ""level"": 2}"
room_2,6617937376,6617937376_20260127210802,-1,-9,4,6,True,False,False,False,False,2026-01-27T21:50:03.481553,"{""dice_roll"": [4, 6, 4], ""doors_count"": 4, ""is_dragon_room"": false, ""level"": 3}"
room_1,6617937376,6617937376_20260127210802,0,0,3,3,True,False,False,False,False,2026-01-27T21:50:05.771843,"{""dice_roll"": [3, 3, 4], ""doors_count"": 4, ""is_dragon_room"": false, ""level"": 2}"
room_2,6617937376,6617937376_20260127210802,-1,-9,4,6,True,False,False,False,False,2026-01-27T21:50:05.771843,"{""dice_roll"": [4, 6, 4], ""doors_count"": 4, ""is_dragon_room"": false, ""level"": 3}"
room_1,6617937376,6617937376_20260127210802,0,0,3,3,True,False,False,False,False,2026-01-27T21:50:07.528347,"{""dice_roll"": [3, 3, 4], ""doors_count"": 4, ""is_dragon_room"": false, ""level"": 2}"
room_2,6617937376,6617937376_20260127210802,-1,-9,4,6,True,False,False,False,False,2026-01-27T21:50:07.529346,"{""dice_roll"": [4, 6, 4], ""doors_count"": 4, ""is_dragon_room"": false, ""level"": 3}"
room_3,6617937376,6617937376_20260127210802,-1,-16,5,4,True,True,False,False,True,2026-01-27T21:50:07.529346,"{""dice_roll"": [5, 4, 3], ""doors_count"": 3, ""is_dragon_room"": false, ""level"": 3}"
room_1,6617937376,6617937376_20260127210802,0,0,3,3,True,False,True,False,False,2026-01-27T22:00:04.279506,"{""dice_roll"": [3, 3, 4], ""doors_count"": 4, ""is_dragon_room"": false, ""level"": 2}"
room_1,6617937376,6617937376_20260127210802,0,0,3,3,True,False,False,False,False,2026-01-27T22:00:06.284991,"{""dice_roll"": [3, 3, 4], ""doors_count"": 4, ""is_dragon_room"": false, ""level"": 2}"
room_1,6617937376,6617937376_20260127210802,0,0,3,3,True,False,False,False,False,2026-01-27T22:00:09.887318,"{""dice_roll"": [3, 3, 4], ""doors_count"": 4, ""is_dragon_room"": false, ""level"": 2}"
room_2,6617937376,6617937376_20260127210802,-1,-6,4,3,True,True,False,True,False,2026-01-27T22:00:09.887318,"{""dice_roll"": [4, 3, 3], ""doors_count"": 3, ""is_dragon_room"": false, ""level"": 2}"
room_1,6617937376,6617937376_20260127210802,0,0,3,3,True,False,True,False,False,2026-01-27T22:55:00.836437,"{""dice_roll"": [3, 3, 4], ""doors_count"": 4, ""is_dragon_room"": false, ""level"": 2}"
room_1,6617937376,6617937376_20260127210802,0,0,3,3,True,False,False,False,False,2026-01-27T22:55:02.534413,"{""dice_roll"": [3, 3, 4], ""doors_count"": 4, ""is_dragon_room"": false, ""level"": 2}"
room_1,6617937376,6617937376_20260127210802,0,0,3,3,True,False,False,False,False,2026-01-27T22:55:06.093039,"{""dice_roll"": [3, 3, 4], ""doors_count"": 4, ""is_dragon_room"": false, ""level"": 2}"
room_2,6617937376,6617937376_20260127210802,-2,-8,6,5,True,False,False,False,False,2026-01-27T22:55:06.093039,"{""dice_roll"": [6, 5, 4], ""doors_count"": 4, ""is_dragon_room"": false, ""level"": 3}"
room_1,6617937376,6617937376_20260127210802,0,0,3,3,True,False,False,False,False,2026-01-27T22:55:09.103245,"{""dice_roll"": [3, 3, 4], ""doors_count"": 4, ""is_dragon_room"": false, ""level"": 2}"
room_2,6617937376,6617937376_20260127210802,-2,-8,6,5,True,False,False,False,False,2026-01-27T22:55:09.109070,"{""dice_roll"": [6, 5, 4], ""doors_count"": 4, ""is_dragon_room"": false, ""level"": 3}"
room_1,6617937376,6617937376_20260127210802,0,0,3,3,True,False,False,False,False,2026-01-27T22:55:10.651237,"{""dice_roll"": [3, 3, 4], ""doors_count"": 4, ""is_dragon_room"": false, ""level"": 2}"
room_2,6617937376,6617937376_20260127210802,-2,-8,6,5,True,False,False,False,False,2026-01-27T22:55:10.651237,"{""dice_roll"": [6, 5, 4], ""doors_count"": 4, ""is_dragon_room"": false, ""level"": 3}"
room_1,6617937376,6617937376_20260127210802,0,0,3,3,True,False,False,False,False,2026-01-27T22:55:11.951092,"{""dice_roll"": [3, 3, 4], ""doors_count"": 4, ""is_dragon_room"": false, ""level"": 2}"
room_2,6617937376,6617937376_20260127210802,-2,-8,6,5,True,False,False,False,False,2026-01-27T22:55:11.951092,"{""dice_roll"": [6, 5, 4], ""doors_count"": 4, ""is_dragon_room"": false, ""level"": 3}"
room_3,6617937376,6617937376_20260127210802,7,-9,6,5,True,True,False,True,False,2026-01-27T22:55:11.951092,"{""dice_roll"": [6, 5, 2], ""doors_count"": 2, ""is_dragon_room"": false, ""level"": 3}"
room_1,6617937376,6617937376_20260127210802,0,0,3,3,True,False,False,False,False,2026-01-27T22:55:15.176137,"{""dice_roll"": [3, 3, 4], ""doors_count"": 4, ""is_dragon_room"": false, ""level"": 2}"
room_2,6617937376,6617937376_20260127210802,-2,-8,6,5,True,False,False,False,False,2026-01-27T22:55:15.176137,"{""dice_roll"": [6, 5, 4], ""doors_count"": 4, ""is_dragon_room"": false, ""level"": 3}"
room_3,6617937376,6617937376_20260127210802,7,-9,6,5,True,True,False,True,False,2026-01-27T22:55:15.176137,"{""dice_roll"": [6, 5, 2], ""doors_count"": 2, ""is_dragon_room"": false, ""level"": 3}"
